-450.714,648.003,-26.1766
301,-3.19143,8.90123,-0.568768
303,-2.88168,9.68105,-0.437121
305,-3.22143,9.00074,-0.348547
306,-4.25043,34.9322,-1.14216
307,-7.0578,31.33,8.62045
308,-10.5354,49.4599,-1.05976
310,-13.0423,50.059,-0.778369
311,-7.91229,49.6819,-1.34988
314,-27.5622,140.452,0.30936
315,-5.49232,50.1408,-0.469203
316,-2.64868,8.73361,-1.36927
317,-2.20863,8.71317,-1.09937
318,-27.6323,110.781,0.895106
319,-20.5324,140.566,-0.511337
320,-2.65863,8.77267,-0.939183
321,-1.78864,8.84268,-0.809147
322,-27.5518,140.375,3.6192
323,-8.62375,85.1663,1.16708
324,-2.81886,9.56201,-0.657451
326,-26.931,107.905,3.45879
327,-20.5219,140.539,2.76861
328,-3.14863,8.93171,-0.568772
330,-2.87895,9.94154,-0.44662
332,-3.17863,9.00122,-0.348617
333,-4.12739,35.0227,-1.14213
334,-7.06507,32.0401,8.81183
335,-10.3221,49.2805,-1.05042
337,-12.7522,49.6691,-0.779253
338,-7.78241,50.052,-1.35909
340,-27.0422,140.402,0.309182
341,-5.30233,50.1709,-0.469164
342,-2.61867,8.7336,-1.35927
343,-2.17864,8.72318,-1.09935
344,-27.2223,110.801,0.895095
345,-2.62863,8.76268,-0.939208
346,-1.75864,8.84269,-0.809151
347,-27.0418,140.375,3.61913
348,-8.27362,84.7664,1.16617
349,-2.81894,9.81206,-0.676909
351,-26.6412,108.365,3.46975
352,-12.4334,84.444,1.65603
353,-3.10863,8.92172,-0.568799
355,-2.89904,10.2116,-0.456033
357,-4.00741,35.0928,-1.152
358,-6.79482,31.2107,8.57999
359,-10.1922,49.5605,-1.05983
361,-12.5822,49.7591,-0.779081
362,-7.60242,50.072,-1.35907
364,-26.5222,140.432,0.309178
365,-2.58867,8.73361,-1.35928
366,-2.14864,8.72319,-1.09936
367,-26.9726,111.581,0.896751
368,-10.7302,73.9487,-0.266936
369,-2.58862,8.7527,-0.939235
370,-1.71864,8.85271,-0.809135
371,-26.5118,140.365,3.61904
372,-8.34514,89.3763,1.22616
373,-2.82903,10.0721,-0.686345
374,-2.39921,10.5526,-0.845362
375,-26.3013,108.705,3.48044
376,-11.9731,83.3042,1.6335
377,-3.08865,8.97173,-0.568693
379,-12.0029,83.5699,3.60408
381,-3.8774,35.0528,-1.1421
382,-6.69484,31.2607,8.59009
383,-10.0823,49.9706,-1.06896
385,-12.4122,49.7592,-0.779103
386,-7.41241,50.0521,-1.35914
389,-26.0322,140.393,0.309026
390,-4.95233,50.161,-0.469232
391,-2.55867,8.72362,-1.3593
392,-2.11864,8.7232,-1.09936
393,-31.6098,133.479,1.0748
394,-16.9069,123.977,-0.447753
395,-2.57863,8.7727,-0.939193
396,-1.68864,8.85272,-0.809139
397,-26.0218,140.355,3.60895
398,-8.15561,90.7863,1.24919
399,-2.84914,10.3821,-0.715671
400,-28.7954,121.224,3.87789
401,-11.8034,84.2242,1.65547
403,-12.0136,85.8797,3.70909
405,-3.07863,9.00126,-0.34863
406,-3.74736,34.9328,-1.14238
407,-6.58486,31.3308,8.60022
408,-9.91235,49.9806,-1.06896
410,-12.2823,49.9992,-0.778601
411,-7.25242,50.0822,-1.3591
414,-25.5322,140.423,0.309024
415,-4.77233,50.1611,-0.469256
416,-2.52867,8.72363,-1.35931
417,-2.08863,8.71321,-1.09939
418,-30.9095,132.609,1.07282
419,-2.52862,8.75272,-0.939243
420,-1.65864,8.85273,-0.809143
421,-25.5218,140.386,3.60895
422,-7.4037,85.0267,1.16662
423,-2.30921,10.5526,-0.845374
424,-28.5857,122.294,3.91018
425,-11.3229,82.7844,1.62229
427,-11.6836,85.6598,3.68857
430,-9.90853,71.4253,6.0375
431,-3.02863,9.00127,-0.348637
432,-3.63741,35.0929,-1.15205
433,-6.45483,31.2309,8.56999
434,-9.73235,49.9807,-1.06898
436,-12.1224,50.1293,-0.77834
437,-7.06242,50.0822,-1.34912
440,-25.0423,140.483,0.309089
441,-6.10936,71.2111,-0.673485
442,-2.48867,8.73364,-1.35929
443,-2.04863,8.70322,-1.09942
444,-30.2993,132.029,1.06149
445,-15.8263,122.297,-0.441535
